#,Company,Symbol,Weight,Price,Chg,% Chg
1,Goldman Sachs Group Inc/The,GS,11.51%,1033.83,-5.45,-0.52%
2,Caterpillar Inc,CAT,9.01%,809.18,-18.72,-2.26%
3,Microsoft Corp,MSFT,5.40%,485.23,1.99,0.41%
4,Amgen Inc,AMGN,4.90%,440.21,0.88,0.20%
5,UnitedHealth Group Inc,UNH,4.41%,395.88,5.77,1.48%
6,Visa Inc,V,4.24%,380.67,9.63,2.60%
7,Travelers Cos Inc/The,TRV,4.12%,370.32,6.74,1.85%
8,JPMorgan Chase & Co,JPM,3.98%,357.58,6.00,1.71%
9,Sherwin-Williams Co/The,SHW,3.88%,348.74,2.15,0.62%
10,Alphabet,GOOGL,3.88%,348.41,3.59,1.04%
11,American Express Co,AXP,3.83%,343.77,7.77,2.31%
12,Home Depot Inc/The,HD,3.78%,340.03,4.42,1.32%
13,Apple Inc,AAPL,3.48%,312.86,3.51,1.13%
14,McDonald's Corp,MCD,3.02%,271.51,0.56,0.21%
15,Johnson & Johnson,JNJ,3.01%,270.71,0.47,0.17%
16,Amazon.com Inc,AMZN,2.91%,261.11,2.48,0.96%
17,International Business Machines Corp,IBM,2.58%,231.45,-4.23,-1.79%
18,Honeywell International Inc,HON,2.38%,213.83,-2.07,-0.96%
19,Salesforce Inc,CRM,2.35%,211.47,2.30,1.10%
20,Boeing Co/The,BA,2.34%,209.97,-4.23,-1.98%
21,NVIDIA Corp,NVDA,2.33%,209.17,-5.55,-2.58%
22,Chevron Corp,CVX,2.27%,204.2,-1.07,-0.52%
23,3M Co,MMM,2.00%,179.45,0.49,0.27%
24,Merck & Co Inc,MRK,1.67%,149.89,-2.66,-1.74%
25,Procter & Gamble Co/The,PG,1.63%,146.7,2.02,1.39%
26,Walt Disney Co/The,DIS,1.24%,110.99,3.21,2.98%
27,Cisco Systems Inc,CSCO,1.22%,109.93,-1.11,-1.00%
28,Walmart Inc,WMT,1.17%,104.81,1.11,1.07%
29,Coca-Cola Co/The,KO,1.03%,92.38,1.28,1.40%
30,NIKE Inc,NKE,0.46%,41.12,0.36,0.89%
SPY,762.72,-3.00,-0.39%,,,
QQQ,703.55,-9.89,-1.39%,,,
DIA,533.48,1.26,0.24%,,,
S&P 500,Magnificent 7,ARK Innovation,,,,
Nasdaq 100,Berkshire Hathaway,Cryptocurrency,,,,
Dow Jones,Blackrock,Treasury,,,,
